sourceId,eventType,eventTime,currentAggregateRate
19,SOURCE_ON,2.0814038135758284,1.0
18,SOURCE_ON,2.0817755541060596,2.0
15,SOURCE_ON,2.08289173243069,3.0
14,SOURCE_ON,2.08326411114463,4.0
17,SOURCE_ON,2.083636649675564,5.0
16,SOURCE_ON,2.084009286123615,6.0
11,SOURCE_ON,2.0963987695443196,7.0
10,SOURCE_ON,2.0967769078829988,8.0
13,SOURCE_ON,2.0971553358621167,9.0
12,SOURCE_ON,2.0975338648215347,10.0
7,SOURCE_ON,2.09791249479188,11.0
6,SOURCE_ON,2.0982914149036502,12.0
9,SOURCE_ON,2.0986704362515614,13.0
8,SOURCE_ON,2.09904962195436,14.0
3,SOURCE_ON,2.09942890900958,15.0
2,SOURCE_ON,2.0998084868762112,16.0
5,SOURCE_ON,2.100188166321325,17.0
4,SOURCE_ON,2.1005679473758967,18.0
1,SOURCE_ON,2.101708470025443,19.0
0,SOURCE_ON,2.1020889746121396,20.0
16,SOURCE_OFF,3.1485030447370645,19.0
18,SOURCE_OFF,3.1599432318562997,18.0
1,SOURCE_OFF,3.191412374863862,17.0
3,SOURCE_OFF,3.2036391139094147,16.0
13,SOURCE_OFF,3.2163644449640483,15.0
17,SOURCE_OFF,3.304876054145983,14.0
19,SOURCE_OFF,3.3219913752904944,13.0
8,SOURCE_OFF,3.3768877352376574,12.0
10,SOURCE_OFF,3.396313736959777,11.0
14,SOURCE_OFF,3.5354708848234786,10.0
9,SOURCE_OFF,3.6396894623856895,9.0
11,SOURCE_OFF,3.6723137060025337,8.0
15,SOURCE_OFF,3.919164170274837,7.0
4,SOURCE_OFF,4.039229990255296,6.0
6,SOURCE_OFF,4.09963155056066,5.0
16,SOURCE_ON,4.355844728249652,6.0
13,SOURCE_ON,4.470213979320215,7.0
19,SOURCE_ON,4.520521275644276,8.0
1,SOURCE_ON,4.681550974375163,9.0
8,SOURCE_ON,4.852467871473238,10.0
14,SOURCE_ON,4.930366215955269,11.0
5,SOURCE_OFF,5.015270152062001,10.0
11,SOURCE_ON,5.133672136702188,11.0
4,SOURCE_ON,5.151848809343862,12.0
7,SOURCE_OFF,5.192954217380077,11.0
18,SOURCE_ON,5.292580697132287,12.0
16,SOURCE_OFF,5.3609944460101975,11.0
1,SOURCE_OFF,5.882855833235749,10.0
6,SOURCE_ON,5.898807410664498,11.0
19,SOURCE_OFF,6.074204112546086,10.0
11,SOURCE_OFF,6.2868101159709235,9.0
7,SOURCE_ON,6.298323429778902,10.0
13,SOURCE_OFF,6.403101147239954,9.0
16,SOURCE_ON,6.444373762223797,10.0
17,SOURCE_ON,6.486406731699434,11.0
14,SOURCE_OFF,6.691787858670774,10.0
4,SOURCE_OFF,6.956034347510717,9.0
3,SOURCE_ON,7.074658883355324,10.0
10,SOURCE_ON,7.127973114017244,11.0
6,SOURCE_OFF,7.144834951305673,10.0
